realID,LOC,weekday,diffdays,flex,penalty,DiaAten,ModelId,T.Servicio,Tag
139,PR,2,0,0,20236,2,38,60,Base
140,SA,2,0,0,20236,2,39,50,Base
288,SA,4,0,0,20236,4,17,60,Base
287,PR,4,0,0,20236,4,18,90,Base
212,SA,3,0,0,20236,3,23,40,Base
138,VI,2,0,0,20236,2,40,90,Base
363,VI,5,0,0,20239,5,23,10,Base
214,VI,3,0,0,20239,3,24,25,Base
215,PR,3,0,0,20260,3,25,45,Base
23,SA,1,1,1,20270,-2,23,90,Base
24,PR,1,0,0,20281,1,24,100,Base
289,LC,4,0,0,20288,4,19,110,Base
25,PR,1,0,0,20299,1,25,90,Base
141,NU,2,0,0,20299,2,41,150,Base
26,NU,1,1,1,20299,-2,26,420,Base
27,LC,1,0,0,20301,1,27,180,Base
216,SA,3,0,0,20303,3,26,80,Base
28,SA,1,0,0,20318,1,28,30,Base
29,SA,1,0,0,20363,1,29,60,Base
364,PR,5,0,0,20365,5,24,1,Base
217,SA,3,0,0,20397,3,27,150,Base
365,SA,5,0,0,20397,5,25,120,Base
290,SA,4,0,0,20397,4,20,60,Base
291,SA,4,0,0,20406,4,21,150,Base
292,PR,4,0,0,20455,4,22,50,Base
293,PR,4,0,0,20455,4,23,165,Base
294,SA,4,0,0,20459,4,24,90,Base
142,LC,2,0,0,20489,2,42,50,Base
218,SA,3,0,0,20534,3,28,120,Base
219,SA,3,1,1,20534,-4,29,90,Base
143,SA,2,0,0,20534,2,43,180,Base
144,SA,2,0,0,20591,2,44,90,Base
145,LC,2,0,0,20601,2,45,60,Base
146,SA,2,0,0,20601,2,46,165,Base
147,LC,2,0,0,20601,2,47,30,Base
220,PR,3,0,0,20601,3,30,60,Base
30,PR,1,0,0,20622,1,30,60,Base
295,LC,4,0,0,20626,4,25,60,Base
366,SA,5,0,0,20663,5,26,20,Base
32,SA,1,0,0,20690,1,31,90,Base
31,SA,1,0,0,20690,1,32,90,Base
367,PR,5,0,0,20722,5,27,15,Base
33,LC,1,1,1,20753,-2,33,150,Base
221,PR,3,0,0,20765,3,31,35,Base
296,SA,4,0,0,20768,4,26,90,Base
222,PR,3,0,0,20792,3,32,60,Base
223,PR,3,0,0,20821,3,33,40,Base
