#Nombre,n,rho,Satisfied,DiaAten,Service,Penalty,noise,n
288_SA_4,1.092013073,0.03983729,1,4,60,50000,0.092013073,1
287_PR_4,1.08464097,0.03983729,1,4,90,50000,0.08464097,1
212_SA_3,1.005255407,0.03983729,1,3,40,50000,0.005255407,1
138_VI_2,1.081284128,0.03983729,1,2,90,50000,0.081284128,1
363_VI_5,2.041993113,0.30277788,1,5,10,2582,0.041993113,2
214_VI_3,2.078263241,0.30277788,1,3,25,2582,0.078263241,2
215_PR_3,1.023827629,0.41805945,1,3,45,50000,0.023827629,1
23_SA_1,1.004946663,0.65329928,1,1,90,50000,0.004946663,1
24_PR_1,4.032478073,0.64933569,1,1,100,5879,0.032478073,4
289_LC_4,2.088219159,0.46568116,1,4,110,33840,0.088219159,2
25_PR_1,3.076074844,0.55186158,1,1,90,6057,0.076074844,3
27_LC_1,3.013481214,0.47980574,1,1,180,2603,0.013481214,3
216_SA_3,4.031947363,0.70129475,1,3,80,15930,0.031947363,4
29_SA_1,2.029214479,0.71590591,1,1,60,50000,0.029214479,2
364_PR_5,3.089282065,0.44638569,1,5,1,1850,0.089282065,3
217_SA_3,4.097813683,0.47682993,1,3,150,848,0.097813683,4
365_SA_5,4.004519564,0.47682993,1,5,120,848,0.004519564,4
291_SA_4,2.035641283,0.32586156,1,4,150,3346,0.035641283,2
292_PR_4,4.024043565,0.57065174,1,4,50,2191,0.024043565,4
293_PR_4,4.081745113,0.57065174,1,4,165,2191,0.081745113,4
294_SA_4,3.070000949,0.63130604,1,4,90,28659,0.070000949,3
142_LC_2,2.052883837,0.35965126,1,2,50,4987,0.052883837,2
218_SA_3,2.020104236,0.32887068,1,3,120,3463,0.020104236,2
219_SA_3,2.000644652,0.32887068,1,3,90,3463,0.000644652,2
143_SA_2,2.094475616,0.32887068,1,2,180,3463,0.094475616,2
30_PR_1,4.024546314,0.67397634,1,1,60,8843,0.024546314,4
295_LC_4,4.022139566,0.27059742,1,4,60,91,0.022139566,4
366_SA_5,2.029600687,0.40576881,1,5,20,9353,0.029600687,2
32_SA_1,3.029806272,0.61602387,1,1,90,18615,0.029806272,3
31_SA_1,3.093633099,0.61602387,1,1,90,18615,0.093633099,3
367_PR_5,1.078182427,0.50537235,1,5,15,50000,0.078182427,1
33_LC_1,2.018757896,0.33530346,1,1,150,3729,0.018757896,2
221_PR_3,2.085617478,0.66559875,1,3,35,50000,0.085617478,2
296_SA_4,2.023149625,0.72418995,1,4,90,50000,0.023149625,2
222_PR_3,1.056537305,0.70989247,1,3,60,50000,0.056537305,1
223_PR_3,1.059963594,0.73906937,1,3,40,50000,0.059963594,1
224_PR_3,3.021925471,0.47134102,1,3,50,2383,0.021925471,3
34_LC_1,2.042783941,0.55237626,1,1,80,50000,0.042783941,2
148_SA_2,2.033896767,0.41439914,1,2,90,10728,0.033896767,2
368_PR_5,3.057576266,0.61157262,1,5,5,16755,0.057576266,3
369_SA_5,2.031804883,0.05344741,1,5,120,50000,0.031804883,2
370_SA_5,2.010944112,0.05344741,1,5,140,50000,0.010944112,2
35_SA_1,3.090498714,0.28703592,1,1,105,372,0.090498714,3
297_SA_4,2.031667056,0.26446176,1,4,100,1691,0.031667056,2
36_LC_1,1.046602992,0.05016894,1,1,60,50000,0.046602992,1
150_SA_2,3.022838618,0.44135123,1,2,120,1759,0.022838618,3
151_SA_2,4.002700997,0.73728536,1,2,120,74149,0.002700997,4
38_PR_1,1.086610535,0.57765274,1,1,80,50000,0.086610535,1
371_PR_5,1.059894186,0.57765274,1,5,30,50000,0.059894186,1
37_PR_1,1.056925456,0.57765274,1,1,60,50000,0.056925456,1
39_LC_1,2.052584325,0.32717645,1,1,90,3396,0.052584325,2
226_PR_3,3.074670072,0.07007926,1,3,65,50000,0.074670072,3
372_LC_5,1.07160284,0.37238922,1,5,60,50000,0.07160284,1
227_LC_3,3.030956759,0.49547391,1,3,120,3079,0.030956759,3
40_SA_1,3.082385876,0.50290277,1,1,60,3341,0.082385876,3
228_SA_3,1.031258397,0.63076275,1,3,100,50000,0.031258397,1
41_LC_1,3.089404686,0.49481554,1,1,120,3057,0.089404686,3
42_PR_1,3.094746452,0.49481554,1,1,60,3057,0.094746452,3
43_SA_1,3.079749247,0.52193857,1,1,207,4155,0.079749247,3
300_SA_4,2.032912218,0.57788028,1,4,105,50000,0.032912218,2
44_PR_1,4.020928661,0.50566689,1,1,25,1124,0.020928661,4
153_PR_2,2.035588106,0.61516775,1,2,230,50000,0.035588106,2
302_SA_4,1.04804516,0.43782719,1,4,90,50000,0.04804516,1
373_SA_5,4.0920924,0.54564862,1,5,60,1681,0.0920924,4
154_PR_2,2.086986995,0.68612952,1,2,170,50000,0.086986995,2
374_PR_5,2.084975081,0.68612952,1,5,105,50000,0.084975081,2
155_SA_2,1.026596509,0.59419122,1,2,240,50000,0.026596509,1
375_PR_5,1.041428722,0.43289826,1,5,170,50000,0.041428722,1
156_PR_2,2.000062692,0.54086836,1,2,80,50000,6.27E-05,2
45_VI_1,3.076698375,0.58169098,1,1,75,9433,0.076698375,3
230_PR_3,2.013963298,0.46667111,1,3,30,34999,0.013963298,2
303_LC_4,1.022654013,0.29060353,1,4,60,50000,0.022654013,1
376_PR_5,2.036013152,0.69749756,1,5,75,50000,0.036013152,2
231_SA_3,4.062250494,0.53051875,1,3,80,1440,0.062250494,4
49_SA_1,4.025905094,0.53051875,1,1,60,1440,0.025905094,4
306_SA_4,4.03199367,0.53051875,1,4,270,1440,0.03199367,4
305_PR_4,4.012384584,0.53051875,1,4,25,1440,0.012384584,4
377_PR_5,4.084037711,0.53051875,1,5,30,1440,0.084037711,4
157_SA_2,4.050820577,0.53051875,1,2,150,1440,0.050820577,4
48_SA_1,4.047791334,0.53051875,1,1,60,1440,0.047791334,4
232_PR_3,4.036440101,0.53051875,1,3,120,1440,0.036440101,4
307_SA_4,1.013334883,0.47308762,1,4,120,50000,0.013334883,1
233_SA_3,1.023527385,0.51307435,1,3,40,50000,0.023527385,1
378_PR_5,1.057798275,0.45703047,1,5,30,50000,0.057798275,1
234_LC_3,2.033700933,0.02912912,1,3,60,2274,0.033700933,2
379_LC_5,3.067682187,0.68693506,1,5,60,50000,0.067682187,3
50_LC_1,1.079675977,0.69437286,1,1,80,50000,0.079675977,1
158_PR_2,4.04699252,0.05825594,1,2,85,2500,0.04699252,4
308_PR_4,1.003632183,0.31954164,1,4,30,50000,0.003632183,1
237_PR_3,1.095479423,0.31954164,1,3,70,50000,0.095479423,1
159_SA_2,3.018126282,0.48160779,1,2,55,2653,0.018126282,3
51_SA_1,3.075147031,0.48160779,1,1,90,2653,0.075147031,3
160_PR_2,1.043200124,0.31829803,1,2,60,50000,0.043200124,1
309_PR_4,2.091465395,0.56152752,1,4,60,50000,0.091465395,2
310_PR_4,2.000649249,0.56152752,1,4,120,50000,0.000649249,2
161_LC_2,1.035398486,0.59566905,1,2,180,50000,0.035398486,1
238_SA_3,2.094738304,0.37547092,1,3,60,6097,0.094738304,2
162_SA_2,4.049763326,0.65086962,1,2,1,6017,0.049763326,4
239_SA_3,3.09657115,0.68370661,1,3,180,50000,0.09657115,3
52_PR_1,3.0543465,0.52449155,1,1,30,4283,0.0543465,3
240_PR_3,3.05951245,0.52449155,1,3,60,4283,0.05951245,3
53_NU_1,1.046597207,0.68668955,1,1,90,50000,0.046597207,1
311_PR_4,1.079630232,0.45104952,1,4,60,50000,0.079630232,1
241_SA_3,2.030370426,0.65941791,1,3,20,50000,0.030370426,2
312_PR_4,3.092641324,0.66097348,1,4,50,205070,0.092641324,3
313_PR_4,3.053614725,0.42294141,1,4,50,1467,0.053614725,3
164_NU_2,4.085374784,0.55530589,1,2,90,1859,0.085374784,4
314_SA_4,4.083265487,0.57266903,1,4,20,2240,0.083265487,4
380_LC_5,2.016229708,0.34561173,1,5,234,4208,0.016229708,2
59_SA_1,3.089083829,0.53725953,1,1,60,5008,0.089083829,3
57_SA_1,3.057314672,0.53725953,1,1,60,5008,0.057314672,3
58_SA_1,3.012850631,0.53725953,1,1,60,5008,0.012850631,3
165_SA_2,1.055594299,0.48934471,1,2,120,50000,0.055594299,1
60_LC_1,2.09446315,0.36096393,1,1,90,5069,0.09446315,2
167_SA_2,3.010523486,0.69647045,1,2,60,50000,0.010523486,3
64_SA_1,3.018661597,0.69647045,1,1,10,50000,0.018661597,3
62_SA_1,3.035306387,0.69647045,1,1,150,50000,0.035306387,3
61_SA_1,3.044320992,0.69647045,1,1,30,50000,0.044320992,3
166_SA_2,3.019052919,0.69647045,1,2,40,50000,0.019052919,3
65_SA_1,3.0565692,0.69647045,1,1,30,50000,0.0565692,3
63_SA_1,3.046250079,0.69647045,1,1,75,50000,0.046250079,3
381_SA_5,3.000181714,0.69647045,1,5,60,50000,0.000181714,3
242_LC_3,1.081133474,0.65127499,1,3,40,50000,0.081133474,1
315_SA_4,2.032564004,0.30485524,1,4,180,2642,0.032564004,2
316_NU_4,3.024098988,0.05889968,1,4,60,10683,0.024098988,3
66_PR_1,4.04270478,0.39262025,1,1,75,370,0.04270478,4
317_LC_4,1.047103862,0.42557721,1,4,45,50000,0.047103862,1
243_SA_3,4.077060552,0.50038425,1,3,120,1067,0.077060552,4
69_VI_1,1.068655991,0.06251846,1,1,60,50000,0.068655991,1
382_PR_5,2.040859729,0.31148082,1,5,30,2844,0.040859729,2
319_PR_4,3.056862277,0.45348634,1,4,90,1986,0.056862277,3
71_PR_1,3.088942193,0.61434855,1,1,520,17877,0.088942193,3
70_SA_1,3.050990752,0.61434855,1,1,180,17877,0.050990752,3
170_SA_2,3.037047984,0.61434855,1,2,120,17877,0.037047984,3
244_SA_3,3.091681039,0.61434855,1,3,80,17877,0.091681039,3
169_LC_2,3.098526475,0.61434855,1,2,135,17877,0.098526475,3
171_PR_2,2.096761965,0.39246336,1,2,65,7683,0.096761965,2
172_NU_2,2.046044519,0.68987886,1,2,60,50000,0.046044519,2
321_SA_4,1.089848145,0.62494219,1,4,240,50000,0.089848145,1
383_SA_5,1.078563051,0.62494219,1,5,240,50000,0.078563051,1
73_PR_1,1.098898289,0.62494219,1,1,120,50000,0.098898289,1
72_SA_1,1.030805483,0.62494219,1,1,195,50000,0.030805483,1
320_SA_4,1.074406998,0.62494219,1,4,120,50000,0.074406998,1
322_SA_4,1.092615452,0.62494219,1,4,90,50000,0.092615452,1
323_SA_4,3.090669759,0.28344748,1,4,120,358,0.090669759,3
246_LC_3,2.025694779,0.33924213,1,3,100,3904,0.025694779,2
247_SA_3,1.094491943,0.47276648,1,3,90,50000,0.094491943,1
75_SA_1,2.069963356,0.50394387,1,1,75,50000,0.069963356,2
174_SA_2,2.054734116,0.50394387,1,2,360,50000,0.054734116,2
173_SA_2,2.065756036,0.50394387,1,2,55,50000,0.065756036,2
175_SA_2,2.026270455,0.50394387,1,2,90,50000,0.026270455,2
385_SA_5,2.070738277,0.50394387,1,5,60,50000,0.070738277,2
248_SA_3,2.039615701,0.26282448,1,3,60,1661,0.039615701,2
176_SA_2,3.05492491,0.37767943,1,2,90,943,0.05492491,3
177_PR_2,4.083222904,0.28864017,1,2,50,115,0.083222904,4
249_SA_3,2.077203111,0.64560202,1,3,75,50000,0.077203111,2
250_SA_3,3.078517153,0.68579968,1,3,60,50000,0.078517153,3
77_SA_1,3.072718947,0.68579968,1,1,120,50000,0.072718947,3
324_SA_4,2.007618542,0.59139861,1,4,130,50000,0.007618542,2
325_PR_4,4.054575398,0.63310031,1,4,180,4656,0.054575398,4
386_SA_5,1.096225137,0.54058518,1,5,90,50000,0.096225137,1
179_PR_2,1.047731991,0.71222705,1,2,100,50000,0.047731991,1
251_PR_3,2.00981212,0.36020202,1,3,60,5021,0.00981212,2
180_LC_2,3.085974865,0.72977685,1,2,60,50000,0.085974865,3
326_SA_4,4.097687928,0.49224366,1,4,1,985,0.097687928,4
78_SA_1,4.047140368,0.49224366,1,1,60,985,0.047140368,4
252_SA_3,4.08377333,0.49224366,1,3,55,985,0.08377333,4
387_SA_5,3.01262882,0.74316057,1,5,90,50000,0.01262882,3
80_SA_1,3.043488925,0.68363013,1,1,90,50000,0.043488925,3
81_SA_1,4.039968253,0.00695613,1,1,60,13843,0.039968253,4
388_SA_5,4.058970362,0.56032752,1,5,60,1961,0.058970362,4
